row_idx,product_id,last_attempted_url
2981,,https://jinius-prod.mirakl.net/mmp/media/product-media/6254/NSK9.JPG
2996,,https://cdn.shopify.com/s/files/1/0266/6810/5920/files/puma-trinity-389289-25-sneakers-white-pink-turquoise-surf_2.jpg?v=1705935623
3001,,https://jinius-prod.mirakl.net/mmp/media/product-media/18233/3156530009A0TBEIGE_WHITE-23_4_7.jpg
3068,,https://jinius-prod.mirakl.net/mmp/media/product-media/9997/150067b.jpg
3086,,https://jinius-prod.mirakl.net/mmp/media/product-media/5311/NAS10.jpg
3090,,https://jinius-prod.mirakl.net/mmp/media/product-media/20465/3027005-100_PAIR.jpeg
3096,,https://jinius-prod.mirakl.net/mmp/media/product-media/33432/848890-1200-1800.jpeg
3110,,https://jinius-prod.mirakl.net/mmp/media/product-media/30403/399668-06-3.jpg
3141,,https://jinius-prod.mirakl.net/mmp/media/product-media/21193/nike-dunk-low-coconut-milk-daybreak-5-white-fz4349-100.jpg
3247,,https://jinius-prod.mirakl.net/mmp/media/product-media/30799/401306-02_5.jpg
3251,,https://jinius-prod.mirakl.net/mmp/media/product-media/6476/117385B.jpg
3252,,https://jinius-prod.mirakl.net/mmp/media/product-media/10153/fixedratio_20220404155605_benetton_gynaikeia_sneakers_leyka_btw214221_1040.jpeg
3258,,https://cdn.shopify.com/s/files/1/0266/6810/5920/files/fixedratio_20210303145030_535efae1.jpg?v=1697618339
3330,,https://jinius-prod.mirakl.net/mmp/media/product-media/3042/GOWALK1.jpg
3352,,https://jinius-prod.mirakl.net/mmp/media/product-media/3426/law2.jpg
3422,,https://jinius-prod.mirakl.net/mmp/media/product-media/2371/KA1.jpg
3444,,
3475,,https://jinius-prod.mirakl.net/mmp/media/product-media/15456/150.jpg
3526,,https://jinius-prod.mirakl.net/mmp/media/product-media/2537/sk9.jpg
3629,,https://jinius-prod.mirakl.net/mmp/media/product-media/22813/New_Balance_530_Heron_Blue_MR530ASP-2.jpg
3680,,https://jinius-prod.mirakl.net/mmp/media/product-media/33494/puma-rs-x-metallic-sneakers-junior-white-silver-391984-10-5.jpg
3691,,https://jinius-prod.mirakl.net/mmp/media/product-media/3340/law6.jpg
3692,,https://jinius-prod.mirakl.net/mmp/media/product-media/18175/ed652b503d594aca89fc99b3203dc036.jpg
3705,,https://jinius-prod.mirakl.net/mmp/media/product-media/2362/aw8.png
3722,,https://jinius-prod.mirakl.net/mmp/media/product-media/18585/129000.jpg
3887,,https://jinius-prod.mirakl.net/mmp/media/product-media/33494/puma-rs-x-metallic-sneakers-junior-white-silver-391984-10-5.jpg
3949,,https://jinius-prod.mirakl.net/mmp/media/product-media/24396/3441_3.png
4005,,https://jinius-prod.mirakl.net/mmp/media/product-media/24416/3443_1.png
4011,,https://jinius-prod.mirakl.net/mmp/media/product-media/16806/sneakers-adidas-originals-womens-samba-ih2752-1.jpg.webp
4090,,
4091,,https://jinius-prod.mirakl.net/mmp/media/product-media/21185/Nike_Dunk_Low_Premium_W_Light_Soft_Pink_Coconut_Milk_FB7910-601_5.jpg.webp
4098,,https://jinius-prod.mirakl.net/mmp/media/product-media/5378/NAS11.jpeg
4149,,https://cdn.shopify.com/s/files/1/0758/9973/2314/files/viber_image_2023-06-03_09-47-57-538_6a739ea0-43d5-4316-a161-eeb7ba0b117b.jpg?v=1686829392
4178,,https://jinius-prod.mirakl.net/mmp/media/product-media/14121/1898_0.png
4188,,https://jinius-prod.mirakl.net/mmp/media/product-media/30403/399668-06-3.jpg
4234,,https://jinius-prod.mirakl.net/mmp/media/product-media/15456/150.jpg
4235,,https://jinius-prod.mirakl.net/mmp/media/product-media/18951/117497_TPE_E.jpg
4292,,https://jinius-prod.mirakl.net/mmp/media/product-media/2367/71gDsMQqm_L._AC_UX695_.jpg
4340,,https://jinius-prod.mirakl.net/mmp/media/product-media/24627/ID8797_-3.jpg
4342,,https://jinius-prod.mirakl.net/mmp/media/product-media/16610/aa_a0f67e8e-154d-42f7-b69f-26406ceb8b53.jpg.webp
4392,,https://jinius-prod.mirakl.net/mmp/media/product-media/24416/3443_1.png
4430,,https://jinius-prod.mirakl.net/mmp/media/product-media/5425/1250.webp
4471,,https://jinius-prod.mirakl.net/mmp/media/product-media/2916/SN13.jpg
4482,,https://jinius-prod.mirakl.net/mmp/media/product-media/16860/384647-01.jpg
4541,,https://jinius-prod.mirakl.net/mmp/media/product-media/19837/397803_01_sv03.jpg
4586,,https://jinius-prod.mirakl.net/mmp/media/product-media/16662/399025-01_6.jpg
4599,,https://jinius-prod.mirakl.net/mmp/media/product-media/33339/117497of.jpg
4654,,https://jinius-prod.mirakl.net/mmp/media/product-media/9997/150067b.jpg
4756,,https://jinius-prod.mirakl.net/mmp/media/product-media/3340/law6.jpg
4757,,https://jinius-prod.mirakl.net/mmp/media/product-media/27156/20230111142909_f0240aa4.jpeg
4758,,https://jinius-prod.mirakl.net/mmp/media/product-media/14132/3100_0.png
4780,,https://cdn.shopify.com/s/files/1/0513/3762/5777/products/336583843_1290202594894922_1298439197652802930_n.jpg?v=1679416861
4809,,https://jinius-prod.mirakl.net/mmp/media/product-media/33047/310788-06-3.png
4827,,https://cdn.shopify.com/s/files/1/0758/9973/2314/files/0F210992-D20D-46E9-9EE1-A15D18F76D78.jpg?v=1711966072
4842,,https://jinius-prod.mirakl.net/mmp/media/product-media/2785/SN5.webp
4850,,https://cdn.shopify.com/s/files/1/0513/3762/5777/products/336478795_609902673906535_2712206168096331792_n.jpg?v=1679416779
4948,,https://jinius-prod.mirakl.net/mmp/media/product-media/6476/117385B.jpg
5081,,https://jinius-prod.mirakl.net/mmp/media/product-media/18951/117497_TPE_E.jpg
5104,,https://jinius-prod.mirakl.net/mmp/media/product-media/18233/3156530009A0TBEIGE_WHITE-23_4_7.jpg
5199,,https://jinius-prod.mirakl.net/mmp/media/product-media/14134/1910_25.png
5245,,https://jinius-prod.mirakl.net/mmp/media/product-media/14118/1033_1.png
5249,,https://jinius-prod.mirakl.net/mmp/media/product-media/10151/445817274_1029524638679603_7331780717029094582_n.jpg
5349,,https://jinius-prod.mirakl.net/mmp/media/product-media/32997/30195BLUE.jpg
5374,,https://jinius-prod.mirakl.net/mmp/media/product-media/16225/3219_1.png
5401,,https://jinius-prod.mirakl.net/mmp/media/product-media/5311/NAS10.jpg
5417,,https://jinius-prod.mirakl.net/mmp/media/product-media/18586/12900R.jpeg
5454,,https://jinius-prod.mirakl.net/mmp/media/product-media/32979/30178_WHITE.jpg
5455,,https://jinius-prod.mirakl.net/mmp/media/product-media/18945/Sneaker-Skechers-Neutral-Air-150074-BKRG-_____4-1000x1000.jpg
5464,,https://jinius-prod.mirakl.net/mmp/media/product-media/19160/good2.jpg
5465,,https://jinius-prod.mirakl.net/mmp/media/product-media/20787/new-balance-athletika-wl574wh2-roz-2.webp
5505,,https://jinius-prod.mirakl.net/mmp/media/product-media/19572/good5.jpg
5547,,https://jinius-prod.mirakl.net/mmp/media/product-media/10911/2656_0.png
5574,,https://powersoft365customers.blob.core.windows.net/he880244-a-katsouris-family-enterprises-ltd/Models/WS327KA_3.jpg?updated=20240926195137
5629,,https://jinius-prod.mirakl.net/mmp/media/product-media/10909/1938_2.png
5663,,https://jinius-prod.mirakl.net/mmp/media/product-media/19837/397803_01_sv03.jpg
5716,,https://jinius-prod.mirakl.net/mmp/media/product-media/24241/3121530004ROSE_PINK-47_1.jpg
5744,,https://jinius-prod.mirakl.net/mmp/media/product-media/27156/20230111142909_f0240aa4.jpeg
