mirakl_product_id,method_metadata_only1
bdebd63a-1cb5-4351-b5f0-79edffc033dc,group_0_cluster-1
dc3bcb31-9d71-4569-b298-9c724a7c822f,group_0_cluster-1
e6ecc206-a03c-4b2e-8b5d-a3895ee8c65a,group_1_cluster-1
57ab67fe-4ac7-48fd-a000-1ed811320b99,group_1_cluster-1
4ac9cf4d-6bf7-4cec-ad72-a782c8e420a8,group_1_cluster-1
64cb4b7d-4aef-4899-9013-1893ca4c2086,group_2_cluster-1
5ac4222f-fc65-448f-a46b-ad7001b9bf68,group_2_cluster-1
3b45d664-c878-42a6-9dde-69709f2b54f8,group_2_cluster-1
22428fb4-fefc-4b24-b1dc-22b5b1fbe7cb,group_3_cluster-1
8ac232d4-0542-4a17-9631-8fecdc82bb65,group_3_cluster-1
ea435d5a-c4a2-4ee4-999e-c43d9a0d5260,group_4_cluster-1
f7e0d3c3-e4f8-42a5-9868-15f8c4d6e140,group_4_cluster-1
0ce8e487-2621-4136-88c0-9d8ac1a77e97,group_5_cluster-1
3a5be08e-68f8-472d-989b-512525fa38ea,group_5_cluster-1
c1235575-5245-4b54-9320-bb61d049d0ca,group_5_cluster-1
208221e6-da29-43a3-bcfb-c83336c6ff54,group_6_cluster-1
22b2e5ea-2906-4b01-a371-f5bc1fe113bc,group_6_cluster-1
b508618d-7f5a-4a98-82e2-05d41147a140,group_7_cluster-1
100b0970-05fe-4778-a07f-931563954f26,group_7_cluster-1
b7b287e6-2679-412e-8118-999f6348e131,group_8_cluster-1
4ab6b90c-5a7d-4427-be41-3b7858077ad5,group_8_cluster-1
b8323473-5b7d-4291-ac1c-a2182b20ba2c,group_9_cluster-1
57b73fab-b38c-4ef1-a494-41112695d7f3,group_9_cluster-1
3950011a-79ef-46f8-b738-1817d1e3f2e0,group_10_cluster-1
138b2c4c-7d1e-41c4-ab08-4609538bf32b,group_10_cluster-1
3baa3d81-9b87-4eab-b473-92250f8ceef0,group_11_cluster-1
4c6a9a5a-9af9-4f55-ada2-a44dd0b3033a,group_11_cluster-1
08ea5ad5-4c0d-4260-8b00-f09f400206b1,group_11_cluster-1
dad7441d-5328-423f-b1c2-2fa440841015,group_12_cluster-1
c8de6f0d-720c-4b4c-8d68-30d2419d7152,group_12_cluster-1
a1417c32-92d2-4723-b8d2-c8ea245e40d7,group_13_cluster-1
817a4168-ddf7-4a68-8b05-01872f325dce,group_13_cluster-1
d76da5a2-5abd-4f64-964c-eb00b992c8ee,group_13_cluster-1
8914c198-46e7-4d65-8c96-58426b3a961a,group_14_cluster-1
7df3b3c6-b4b0-4289-8f9f-4ecd8df845c6,group_14_cluster-1
ce630b24-30b2-41df-82bc-ff03e55f3659,group_14_cluster-1
3c3cb834-9edd-4df6-bc91-0272471ef52b,group_15_cluster-1
f2476e60-c471-4f10-b097-86f9c6e6784a,group_15_cluster-1
f7c1e2ea-9981-4852-98b7-37cf8330139c,group_16_cluster-1
2dfcf05e-a881-4edf-ad15-2dfa1ea5fba2,group_16_cluster-1
e3fd75e0-eb7b-46d6-b10e-299cf877f497,group_17_cluster-1
9187b034-2e3e-4389-b326-02459c4eb76e,group_17_cluster-1
c0125e4f-ef86-4f11-9c17-d3f50bf7cf03,group_17_cluster-1
26f7f9b1-c8d6-48ad-9615-a34909d06606,group_18_cluster-1
d75a9982-3e93-492c-a9af-d2d8c5c14c9e,group_18_cluster-1
22138d17-f50d-4fe0-abf3-86ba1c71ed77,group_19_cluster-1
6454ba1e-c52c-4968-86ef-7519b6f7e2b1,group_19_cluster-1
afce1d4c-8649-4e52-8fe1-5797fe9e4f95,group_20_cluster-1
bcf27f8e-5a04-408e-8078-5055cd446bbc,group_20_cluster-1
bec1d217-ce37-4dea-bf07-a8e2a7d426ec,group_21_cluster-1
95659454-67ec-4371-821d-940702172132,group_21_cluster-1
f7a00fbe-b9c5-45bc-bdca-3e2372eb8a30,group_21_cluster-1
b6cb37c8-eb02-417e-9ab0-9cb78ddd00d1,group_21_cluster-1
8fe21844-e097-4292-8fb0-f4db6f6e96ba,group_22_cluster-1
cb9a6e2e-6114-4701-a418-c3731431f574,group_22_cluster-1
c006b47b-88cb-4dfa-a926-0b438ae41e81,group_23_cluster-1
33a2074f-6b8a-4bbd-a7ff-775d503e7f6f,group_23_cluster-1
ef9eb625-f5b4-4e0d-a2a1-82897a0a162a,group_24_cluster-1
7d8c96ce-ecb3-44c3-b008-39fa287c7488,group_24_cluster-1
e40395a1-02a4-446f-ba11-527687c78fe5,group_24_cluster-1
c6de6757-89b6-49e4-9e61-ff08e3341e12,group_24_cluster-1
c71b64b1-cb2b-4728-91a7-21a25bbfb00c,group_25_cluster-1
d4f29228-b125-43a6-aead-ebf5248a4dde,group_25_cluster-1
fcb5907b-fff2-4d18-b280-850d5ef0479d,group_26_cluster-1
6d65105f-7e40-4362-b10a-a2bf80281d03,group_26_cluster-1
2204940d-26b9-4166-82b7-faacb5f3ad20,group_27_cluster-1
904d9114-5a95-44e9-9217-dd26d2aa3255,group_27_cluster-1
527b956a-8e3d-446a-aeaa-f94832f4520f,group_28_cluster-1
a978bcde-bdbc-4be8-951c-0253545dff0c,group_28_cluster-1
230ba4bf-eeb3-4b52-bc35-9ac207933575,group_29_cluster-1
7cb7c075-6230-49d1-b832-9404aba86ca5,group_29_cluster-1
7229f0ca-9502-417a-bfd3-2f59439f40b2,group_30_cluster-1
e6c1d7e7-4e2d-4e87-a7f9-278f2cb37a78,group_30_cluster-1
745e5a40-cf05-49fb-ba04-5be7bed49d32,group_31_cluster-1
d37caee9-4b33-48dd-b247-1d454ee4e258,group_31_cluster-1
86efeb96-87ff-4d76-9f16-a62069052137,group_31_cluster-1
25254eeb-e46f-4e6d-a899-e5c19fbfaf57,group_32_cluster-1
d03adbd3-97c7-4ac8-b928-bf377c9bd293,group_32_cluster-1
2030ddb2-66d7-4281-a039-a47c6001a16f,group_33_cluster-1
9e674fbd-c380-4274-b50d-920fb3cdbfda,group_33_cluster-1
38f852ee-3cfb-419a-9493-9d3bdc7abe2a,group_34_cluster-1
52127b07-21b4-4e81-b35b-1ea84e1af36e,group_34_cluster-1
73d6b397-f5a7-430e-a251-006932b081df,group_35_cluster-1
d620cb7e-d871-40cf-8eed-4e5e45d37fe6,group_35_cluster-1
c1153968-d950-4c4a-9a13-0c9912282448,group_36_cluster-1
909c846e-779d-4596-bd21-0b84369f52ef,group_36_cluster-1
0fd49c73-4007-418b-b373-5bc0dfbd1164,group_37_cluster-1
e5ba0fe3-20e1-4c65-b096-ada333b0e3d8,group_37_cluster-1
0acc6f60-c61a-4ee0-ab3c-6bb42b85060c,group_38_cluster-1
1e2d1add-1cbc-4b2f-be9f-13f044703b30,group_38_cluster-1
96162b0d-47be-4cdb-bbc9-4d4a3b5c8e6a,group_39_cluster-1
411ced3d-29d5-4832-869a-a922f8c53a8f,group_39_cluster-1
f567a5c4-7ceb-4caf-9df9-69b5b7941c05,group_40_cluster-1
8a82b587-75a3-45d1-a9fd-d66fd415ce5e,group_40_cluster-1
cf377d9e-d39a-4aaf-ad71-7d75f2df5621,group_40_cluster-1
f31d1fe9-1140-43b1-b5b7-2b439cc1e197,group_41_cluster-1
e2552659-57d7-48b9-b013-f3f72c3196bb,group_41_cluster-1
3e60fb3e-a450-4cbc-a40e-d32edcad91fa,group_42_cluster-1
0779b9dc-507d-46e7-aefa-405024557134,group_42_cluster-1
ced44a10-9f71-4b26-98b5-40c7744ef1c3,group_42_cluster-1
1bc2057f-4577-4db3-9dcc-435ccc390f79,group_42_cluster-1
5be694b7-8156-44e5-9084-78939341ab42,group_43_cluster-1
22742bec-18e9-45f3-8dde-31a8df489e77,group_43_cluster-1
629a5a66-aeb0-4f31-a6fb-cd215f688363,group_43_cluster-1
ccf76ad6-da1f-4705-a9d4-a00dd6804c5e,group_43_cluster-1
44c56117-9ae2-4a6e-8d07-d567884d56ae,group_44_cluster-1
356da2f7-2701-4237-aa27-b4bd3cf65e1d,group_44_cluster-1
912ecd25-64e9-47da-addd-98683fb052ab,group_45_cluster-1
a04ab051-1fd2-420a-81fc-8e580d13f0af,group_45_cluster-1
a55a334e-3808-4202-8af6-c027d00d034a,group_46_cluster-1
31caf672-9f0c-45b7-9802-990c47ee4d20,group_46_cluster-1
9650de27-e88a-4793-a81b-061c6979d9a1,group_47_cluster-1
6b2ede4f-b1d4-49d4-bb56-5858157f6535,group_47_cluster-1
61a0a16d-4984-4e98-8974-41548b3967a7,group_48_cluster-1
4a1bc383-e296-47f6-9bcc-7a09cc41ec46,group_48_cluster-1
